"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","73.92","","","","2"
"2021","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","74.87","","","","2"
"2022","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","78.77","","","","2"
"2023","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","81.20","","","","2"
"2024","Canada","2021A000011124","Crime severity index","Index","160","units","0","v44312461","1.1","77.89","","","","2"
"2020","Canada","2021A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-7.28","","","","2"
"2021","Canada","2021A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","1.29","","","","2"
"2022","Canada","2021A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","5.21","","","","2"
"2023","Canada","2021A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","3.08","","","","2"
"2024","Canada","2021A000011124","Percent change in crime severity index","Percent","239","units","0","v44312462","1.2","-4.08","","","","2"
"2020","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","87.99","","","","2"
"2021","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","93.40","","","","2"
"2022","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","99.07","","","","2"
"2023","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","100.92","","","","2"
"2024","Canada","2021A000011124","Violent crime severity index","Index","160","units","0","v44312463","1.3","99.87","","","","2"
"2020","Canada","2021A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-2.49","","","","2"
"2021","Canada","2021A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","6.15","","","","2"
"2022","Canada","2021A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","6.07","","","","2"
"2023","Canada","2021A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","1.87","","","","2"
"2024","Canada","2021A000011124","Percent change in violent crime severity index","Percent","239","units","0","v44312464","1.4","-1.04","","","","2"
"2020","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","68.68","","","","2"
"2021","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","68.10","","","","2"
"2022","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","71.32","","","","2"
"2023","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","74.00","","","","2"
"2024","Canada","2021A000011124","Non-violent crime severity index","Index","160","units","0","v44312465","1.5","69.76","","","","2"
"2020","Canada","2021A000011124","Percent change in non-violent crime severity index","Percent","239","units","0","v44312466","1.6","-9.33","","","","2"
"2021","Canada","2021A000011124","Percent change in non-violent crime severity index","Percent","239","units","0","v44312466","1.6","-0.84","","","","2"
"2022","Canada","2021A000011124","Percent change in non-violent crime severity index","Percent","239","units","0","v44312466","1.6","4.73","","","","2"
"2023","Canada","2021A000011124","Percent change in non-violent crime severity index","Percent","239","units","0","v44312466","1.6","3.76","","","","2"
"2024","Canada","2021A000011124","Percent change in non-violent crime severity index","Percent","239","units","0","v44312466","1.6","-5.73","","","","2"
"2020","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","42.72","","","","2"
"2021","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","41.18","","","","2"
"2022","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","50.42","","","","2"
"2023","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","54.21","","","","2"
"2024","Canada","2021A000011124","Youth crime severity index","Index","160","units","0","v53079455","1.7","52.46","","","","2"
"2020","Canada","2021A000011124","Percent change in youth crime severity index","Percent","239","units","0","v53079456","1.8","-22.36","","","","2"
"2021","Canada","2021A000011124","Percent change in youth crime severity index","Percent","239","units","0","v53079456","1.8","-3.60","","","","2"
"2022","Canada","2021A000011124","Percent change in youth crime severity index","Percent","239","units","0","v53079456","1.8","22.44","","","","2"
"2023","Canada","2021A000011124","Percent change in youth crime severity index","Percent","239","units","0","v53079456","1.8","7.52","","","","2"
"2024","Canada","2021A000011124","Percent change in youth crime severity index","Percent","239","units","0","v53079456","1.8","-3.23","","","","2"
"2020","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","66.46","","","","2"
"2021","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","64.32","","","","2"
"2022","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","83.21","","","","2"
"2023","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","86.82","","","","2"
"2024","Canada","2021A000011124","Youth violent crime severity index","Index","160","units","0","v53079457","1.9","83.28","","","","2"
"2020","Canada","2021A000011124","Percent change in youth violent crime severity index","Percent","239","units","0","v53079920","1.10","-16.62","","","","2"
"2021","Canada","2021A000011124","Percent change in youth violent crime severity index","Percent","239","units","0","v53079920","1.10","-3.22","","","","2"
"2022","Canada","2021A000011124","Percent change in youth violent crime severity index","Percent","239","units","0","v53079920","1.10","29.37","","","","2"
"2023","Canada","2021A000011124","Percent change in youth violent crime severity index","Percent","239","units","0","v53079920","1.10","4.34","","","","2"
"2024","Canada","2021A000011124","Percent change in youth violent crime severity index","Percent","239","units","0","v53079920","1.10","-4.08","","","","2"
"2020","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","26.14","","","","2"
"2021","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","25.02","","","","2"
"2022","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","27.54","","","","2"
"2023","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","31.44","","","","2"
"2024","Canada","2021A000011124","Youth non-violent crime severity index","Index","160","units","0","v53079447","1.11","30.94","","","","2"
"2020","Canada","2021A000011124","Percent change in youth non-violent crime severity index","Percent","239","units","0","v53079448","1.12","-30.61","","","","2"
"2021","Canada","2021A000011124","Percent change in youth non-violent crime severity index","Percent","239","units","0","v53079448","1.12","-4.28","","","","2"
"2022","Canada","2021A000011124","Percent change in youth non-violent crime severity index","Percent","239","units","0","v53079448","1.12","10.07","","","","2"
"2023","Canada","2021A000011124","Percent change in youth non-violent crime severity index","Percent","239","units","0","v53079448","1.12","14.16","","","","2"
"2024","Canada","2021A000011124","Percent change in youth non-violent crime severity index","Percent","239","units","0","v53079448","1.12","-1.59","","","","2"
"2020","Canada","2021A000011124","Weighted clearance rate","Number","223","units","0","v53079449","1.13","37.36","","","","2"
"2021","Canada","2021A000011124","Weighted clearance rate","Number","223","units","0","v53079449","1.13","36.84","","","","2"
"2022","Canada","2021A000011124","Weighted clearance rate","Number","223","units","0","v53079449","1.13","35.99","","","","2"
"2023","Canada","2021A000011124","Weighted clearance rate","Number","223","units","0","v53079449","1.13","34.85","","","","2"
"2024","Canada","2021A000011124","Weighted clearance rate","Number","223","units","0","v53079449","1.13","35.54","","","","2"
"2020","Canada","2021A000011124","Percent change in weighted clearance rate","Percent","239","units","0","v53079450","1.14","0.92","","","","2"
"2021","Canada","2021A000011124","Percent change in weighted clearance rate","Percent","239","units","0","v53079450","1.14","-1.39","","","","2"
"2022","Canada","2021A000011124","Percent change in weighted clearance rate","Percent","239","units","0","v53079450","1.14","-2.31","","","","2"
"2023","Canada","2021A000011124","Percent change in weighted clearance rate","Percent","239","units","0","v53079450","1.14","-3.17","","","","2"
"2024","Canada","2021A000011124","Percent change in weighted clearance rate","Percent","239","units","0","v53079450","1.14","1.98","","","","2"
"2020","Canada","2021A000011124","Violent weighted clearance rate","Number","223","units","0","v53079451","1.15","58.74","","","","2"
"2021","Canada","2021A000011124","Violent weighted clearance rate","Number","223","units","0","v53079451","1.15","56.01","","","","2"
"2022","Canada","2021A000011124","Violent weighted clearance rate","Number","223","units","0","v53079451","1.15","55.81","","","","2"
"2023","Canada","2021A000011124","Violent weighted clearance rate","Number","223","units","0","v53079451","1.15","54.01","","","","2"
"2024","Canada","2021A000011124","Violent weighted clearance rate","Number","223","units","0","v53079451","1.15","53.65","","","","2"
"2020","Canada","2021A000011124","Percent change in violent weighted clearance rate","Percent","239","units","0","v53079452","1.16","0.88","","","","2"
"2021","Canada","2021A000011124","Percent change in violent weighted clearance rate","Percent","239","units","0","v53079452","1.16","-4.65","","","","2"
"2022","Canada","2021A000011124","Percent change in violent weighted clearance rate","Percent","239","units","0","v53079452","1.16","-0.36","","","","2"
"2023","Canada","2021A000011124","Percent change in violent weighted clearance rate","Percent","239","units","0","v53079452","1.16","-3.23","","","","2"
"2024","Canada","2021A000011124","Percent change in violent weighted clearance rate","Percent","239","units","0","v53079452","1.16","-0.67","","","","2"
"2020","Canada","2021A000011124","Non-violent weighted clearance rate","Number","223","units","0","v53079453","1.17","27.51","","","","2"
"2021","Canada","2021A000011124","Non-violent weighted clearance rate","Number","223","units","0","v53079453","1.17","26.33","","","","2"
"2022","Canada","2021A000011124","Non-violent weighted clearance rate","Number","223","units","0","v53079453","1.17","24.99","","","","2"
"2023","Canada","2021A000011124","Non-violent weighted clearance rate","Number","223","units","0","v53079453","1.17","24.41","","","","2"
"2024","Canada","2021A000011124","Non-violent weighted clearance rate","Number","223","units","0","v53079453","1.17","25.17","","","","2"
"2020","Canada","2021A000011124","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079454","1.18","-1.50","","","","2"
"2021","Canada","2021A000011124","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079454","1.18","-4.29","","","","2"
"2022","Canada","2021A000011124","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079454","1.18","-5.09","","","","2"
"2023","Canada","2021A000011124","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079454","1.18","-2.32","","","","2"
"2024","Canada","2021A000011124","Percent change in non-violent weighted clearance rate","Percent","239","units","0","v53079454","1.18","3.11","","","","2"


